DATE,STAR,LIKE,REVIEW
20210802,별표 5개 만점에 1개를 받았습니다.,182,리뷰에 요구사항에 대해서 개선좀 해주세요. 배차중지 버튼좀 만들어 주시고요. 출근 해야되는데 오프라인 할수없게 배차 밀어넣기 하지 말고요. 그리고 동작구에 있는데 강님구로 배차되어 깜짝놀랐습니다. 강남구 서초구에 사람이 하나도 없어도 그렇게 배차하면 안되지요..
20210806,별표 5개 만점에 1개를 받았습니다.,239,실시간 할증 단가표기 없애주시고 최저단가(기본단가)표기로 바꿔주세요... 아무것도 모르는 어르신 라이더들 속아 넘어갑니다.금액가지고 장난치면 안되는거에요 언젠가는 부메랑이 되어 쿠팡에 돌아가게 될겁니다.우리는 파트너이자 잠재적 고객이라는걸 명심하셨으면 좋겠습니다.
20210731,별표 5개 만점에 1개를 받았습니다.,182,"요청금액과 완료금액 다름 몇번 금액은 달랐던것 같지만 그냥 넘어 갔다. 하지만 오늘 아침 처음요청건이 만원이 넘었다. 그런데 완료후 금액이 9,100원이었다. 황당해서 콜센터에 전화했더니 더 황당했다. 요청금액과 완료금액을 화면캡쳐하던지 사진찍어 증거로 제출하란다. 시스템에 다 남아 있는 것이라 하면서 말도 안되는 소리라 했더니 본사 지시사항이고, 메뉴얼이라 한다 ㅠㅠ 화면캡쳐는 되지도 않는 것을 콜센터 직원이 알지도 못하고 ㅎㅎ 쿠팡라이더님 사진 찍으려면 핸드폰 2개 갖고 다니라고 하네요. 콜센터직원이.. 별하나도 아까움"
20210805,별표 5개 만점에 4개를 받았습니다.,23,"좀 넘하시는거같습니다. 그래도 콜 4~5백콜이상타고 평점 9.5이상나오고 잘타는개인기사인데요.가끔너무오지로보내신는건 좀그렇습니다..어차피나와야되는데 금액이 합리적이진않아요.픽업거리할증과 배달거리할증이 확연히 틀리네요ㅠㅠ 배달거리할증이(2.5km)1,000이라면 5km는 2,000원이되야되는게 맞지않나요??? 근데 절반단가도안되는 가격이네요.. 현실적인부분을 맞춰주세요!! 직선거리라고하지만 건물을 뚫고갈순없잖아요. AI콜이지만 한시간에 겨우 2콜정도타는경우ㅠㅠ3천원단가에 1시간에 3콜타면 기름값빼고 거의없죠?? 잘해봐야 7천원정도.. 그것도잘해봐야 현실적인 콜 배정을 윈합니다."
20210802,별표 5개 만점에 2개를 받았습니다.,69,요즘 배차오더 너무 빨라 쉴수가 없읍니다. 날씨도 더운데 기계가 아닌데도 너무돌리네요. 배달 완료하자마자 바로 오더가 오는데 너무 빠르지않나 싶네요. 그리고 나만 그런가 배달 완료후 오프라인을 할려면 안되고 곧 바로 배차 오더가 떨어집니다.
20210727,별표 5개 만점에 1개를 받았습니다.,65,1.화면에 나오는 금액이랑 실제 금액이랑 차이심함 한번도 화면에 나온금액 이상으로 나온적 없음. 2. 배정 취소하면 이유 선택해야하는데 그때만이라도 새로운 배정 차단시켜야하는데 또 배정시킴 3. 배정취소 이유가 차량진입이 어렵고 주차공간이 없어서(차량) 취소시키는건데 같은 장소로 또 배정시킴 이게 제일 화남 AI 이용하여 배정시키는거라면서 이런건 반영 안하나봄 4. 배달 완료 못한거 없는데 자주 %가 내려감
20210808,별표 5개 만점에 1개를 받았습니다.,14,대기업에 횡포라 생각하니 안타깝네요 다른 배달앱보다 후발주자였지만 공격적인 마케팅등으로 성장속도가 굉장히 빠른데 그에 비해 라이더들에 대한 대우는 미흡합니다. 미흡하다기 보다 좀 어리석어 보여 안타깝기까지 하네요. 기존 업그래이드 되기전 화면에 보이는 금액이 기본금액이고 나머지 거리할증이나 피크타임할증등 추가되서 실제운행요금이 보였는데 지금은 투명하지도 않은 내부규정이라하며 테스트를 한다고는 막상 콜잡으면 금액이 작고 그거에 대한 공지도 일절없이 마음대로 바꿔 버리네요. 이런거 모르는 일반 라이더분들은 그냥 수긍하고 일할지 모르나 개인적으로는 대기업에 꼼수를 넘어선 횡포같아 안타깝습니다. 배민도 일대일 배달 시작했는데 자체배달인력없는 쿠팡이 얼마나 살아남을지 걱정 아닌 걱정이네요.
20210728,별표 5개 만점에 1개를 받았습니다.,38,1도 아까운 배달어플. 어플에도 문제가 많지만 시스템이 정말 욕나오네요. 리뷰 읽어보니 다 똑같은 생각인거같네요 이건 뭐 하다보면 다리를 두개나 건너게되고 화면에 보이는 총 수입은 도대체 무얼 제하고 정산이 되는건지 실제 입금 금액과 현저히 차이나는지 모르겠어요 뭐하나 문의해도 여기부서 아니어서 모른다 몇일만 기다려라 매번 서로에게 떠넘기는듯한 상담사들도 그냥 전 배달경험 했다 생각하고 문의한 대답만 들으면 바로 배민으로 갈겁니다. 쿠팡이츠는 답이 없네요
20210801,별표 5개 만점에 5개를 받았습니다.,28,쿠팡이츠 개선의 대해서 출금 바로할수있게끔 해주었으면하구요! 업체>배달기사도 주소 보이게끔 픽업전에도 보이게끔 개선해주세요 배민도 출금서비스 바로되는데 여긴왜안될까요? 솔직히 출금 문제가 더 시급합니다!!! 출금 바로되면 투잡하겠다고하는사람 많이 몰리지않을까도 생각해봅니다 업체에서도 몇몇 말이 많고 불편한 사항이 한두가지가 아니라고 말씀이 많구요 저도 배달하믄서 불편한 사항 이없다 말할순없지만요~? 바로출금 >기사들에게는 희망입니다꼭개선요망! 업체>주소보이게 해주세요 몇몇 말이나와서 하는말입니다!!! 이렇게만좀 개선이 된다면 바랄께 업네요 꼭좀 부탁드려도 될까요 ~쿠팡이츠 영자님 불편한 사항 꼭좀 체크해주시고 개선 희망합니다 그럼 화이팅하겟습니다
20210811,별표 5개 만점에 1개를 받았습니다.,8,프로모션한다고 광고는 대차게 때려놓고 보너스 4만원이 들어올거 2만원 주고 치우네요ㅋㅋㅋㅋ 전화 걸어봐도 받지도 않고 참ㅋㅋㅋㅋ이정도 받고 떨어져라 이건가? 그냥 똥밟았다 생각하겠습니다. 1점도 아깝네요.
