DATE,STAR,LIKE,REVIEW
20210810,별표 5개 만점에 1개를 받았습니다.,6,아니.. 이게 무슨 가격수정이랑 메뉴 수정등 저희가 못하는게 말이됩니까? 무슨 이메일로 보내달라고 하는데 말이 안돼요 이거 수정좀 해주세요 배차도 너무 느리구요..
20210731,별표 5개 만점에 2개를 받았습니다.,11,전 사장인데요 어플 빠르게 개선좀 해주세요 주문 수락 포스기로 눌렀는데 쿠팡이츠주문이라고 소리 계속나요 핸드폰 터치하기 전까지 그리고 배달원 배정되고 취소되는 소리도 났는데 이젠 그거조차 안나네요 미쳤어요 진짜 실시간 업데이트가 안되고 있어요
20210806,별표 5개 만점에 1개를 받았습니다.,8,고객센터는 가맹점 편의를 위해 하는일이 뭡니까 말도안되는 리뷰건으로 고객과 통화도 안되고 그럼 말좀 전해달라구 환불이든 뭐든 해드리고 싶다고 매장으로 전화한번 부탁드린다고 전해 달랫더니 리뷰건으로는 고객한테 전화도 못하고 레뷰에 답글달아서 알아서 해결하라고 하면 고객센터 있는 이유가 뭐에요 새우튀김 사건이후로도 처우가 전혀 개선 되지않았네요 진심 정떨어져서 때려치고싶다
20210803,별표 5개 만점에 2개를 받았습니다.,3,기사가 잡혀도 전에는 소리가 났는데 소리가. 안나요 새로고침을 해야 배송기사가 보이네요 소리라도 기사잡히면 나게 바꿔주세요!
20210801,별표 5개 만점에 1개를 받았습니다.,3,배달민족 처럼 메뉴 한눈에 볼수있게 큰글씨 굵게 좀 폰트 수정해라. 물론 니들은 리뷰 보고 개선 할 의지 없다는거 잘 안다.
20210603,별표 5개 만점에 1개를 받았습니다.,46,"음식은 5분~10분 조리시간내로 나와서 완료되어있고, 배차는 30분 넘어서도 되질않아요. 손님은 5분밖에 안남았는데 출발했냐고 전화오십니다. 그리고 배차 된다는게 기사님 35분내 도착떠있고 그래서 회사측에 물어보려고 고객센터 전화하면 연결하는데만 10분넘게 걸립니다. 저는 답변 하나 듣는데 20분걸렸어요. 고객센터때문에 손님께서 또 뭐라하십니다. 답변이 느리다고요. 손님은 취소해달라하시고요. 배달 한개씩만 가면뭐해요? 여러개 잡아서 가는 대행업체보다 훨씬 더 느려요 . 음식은 식어서 질만 떨어지고요. 왜 이런 서비스를 강제적으로 손님께 제공해야되는겁니까? 그건 둘째치고 고객센터 처리능력은요? 너무 오래걸리고 배민에비교하면 말도 안나옵니다. 손님은 가게에 뭐라하시고, 저희도 손님입장이 이해돼요. 하지만 회사입장은 이해할수없네요. 저희만 더 힘드네요."
20210622,별표 5개 만점에 1개를 받았습니다.,24,"PC로 주문수락했으면 폰에 알림 자동으로 안꺼지게 만들고, 폰에 알림 안누르면 25만년 동안 울리게해놨네 진짜 생각없니? 기술력+생각은 19세기네 완전..써보긴 하고 출시하니? 아무생각없이 만들면 다되는줄아네"
20210608,별표 5개 만점에 1개를 받았습니다.,29,진짜 불편합니다. 너무 무슨 메뉴 금액수정 하나 하는데 메일로 보내면 영업일 기준 3일걸린다 하고 3일 지나도 수정도 안되고 금액 수정쯤은 우리가 하게끔 만들어야지 이게 뭐하자는 건지 기다리다 혈압터져 죽어요. 금액 수정안되어 매번 오픈 안한고 앱 닫아놓기 일쑤니
20210702,별표 5개 만점에 1개를 받았습니다.,17,아니 내가 사장인데 내맘대로 메뉴수정및 가격조정도 안되고 배달도 개판이고 나도 쿠팡잇츠로 들어오는 주문 개판치가 보낼수밖에
20210617,별표 5개 만점에 1개를 받았습니다.,3,점주 피말리는 수수료 늦은배차 불편한메뉴설정 판매금액21000원 정산금액 12542원 - (재료비 7500+ 인건비@ +기타@) 얼마가 남을까요.......
20210611,별표 5개 만점에 1개를 받았습니다.,3,별 한개도 아깝다 너희들때문에 늘어난 그지들 때문에 죽어나가는건 업소지 그걸방관하는 최악의 업체 수수료만 받아먹고 나머지는 모르쇠 지금이야 이그지들 업소에 말도안돼는 리뷰테러하고 환불받고 하지만 나중엔 쿠팡 니들의 암적인 존재가 될꺼다 분명히
20210720,별표 5개 만점에 1개를 받았습니다.,2,너무 구려요 UI 편의성이 너무너무 구려요 개선좀 해주세요
20210709,별표 5개 만점에 2개를 받았습니다.,2,결제금액 자동입금되면 좋겠어요 주소 변경
20210606,별표 5개 만점에 3개를 받았습니다.,7,다좋은데 포스pc주문때 주문이들어오고 프로그램을 누르면 홈화면이 먼저나와서 부모님들이 자주헷갈려하시고 알려드려도 까먹습니다. 주문접수 화면으로 바로 나오게끔 패치하면 좋을거 같네요. 그리고 볼륨 평균수치를 좀더 높여줬으면 좋겠습니다. 스피커를 최대로 틀었는데도 작게나옵니다.
20210601,별표 5개 만점에 1개를 받았습니다.,7,볼륨 조절이 왜 안되죠?? 이어폰 끼다가 작게 소리 틀다가 주문이 들어오면 급속도록 자동으로 커지고 무슨 조절할 수 있는 방법 없나요?? 쓰다가 고막 나가겠네 고막 나가면 책임 질껀가? 고막 나가기 전에 깜짝깜짝 놀라서 심장마비로 먼저 죽겠다. 고객센터나 공지사항에 그런것 좀 적어줘요 짜증나게
20210601,별표 5개 만점에 1개를 받았습니다.,28,메뉴사진이 마음에 안들어서ㅡㅡ 다른사진으로 바꾼다고 하면 계~~속 이메일로 보내라고만함... 배민이었으면 내가 직접바꾸는데 쿠팡이츠! 진짜 왜 이메일로 고집하는지 모르겠음 메일로 보내도 3일이나 기다려야되고! 진짜 답답함
20210607,별표 5개 만점에 1개를 받았습니다.,15,정산 관리 에러 계속뜨는데 언제 수정될라나 두세달된거같은데 관리가안되는군
20210330,별표 5개 만점에 1개를 받았습니다.,57,1점도 아까움 정말 욕이라도 퍼주고싶은데 광고비 없다는 명목으로 배달비에 중계수수료까지 타사보다 더 내고있는건 아시는지.. 그러면서 고객들 요청사항은 다 들어죠야하고 터무니없는 리뷰에는 답글도 달수없게 만들어놓고 정작 당신들은 사장님들 요청사항 안보이나? 안들려요? 지금 다들 요청하고 계시잖아요 배달기사들 수수료는 내려서 파업까지 이르게 해놓고 정작 업주들에겐 수수료 따박따박 다 떼어가면서 요즘 첫주문인데 많이주면 리뷰작성한다는 놈이 3주째 진상짓을 하는데 진짜 처음인건지 습관적으로 써쳐먹는 습관인건지.. 코로나로 어려워 울며겨자먹기로 당신들 회사에 돈 퍼다주고 있는 사장님들 말도 귀담아 쳐들어주시길 리뷰 댓글도 달고 사장님들도 할말은 하고 삽시다 타사서는 지키지도않는 개인정보는 쓸데없이 지켜주고 난리들이신지.. 그리고 당신들 별점은 누가 계산하는지.. 죄다 1점씩들이고만 평균이 너무 높네 난 4.8에서 4.9올라가는게 하늘의 별따기더만
