DATE,STAR,LIKE,DISLIKE,TITLE,REVIEW
2021-07-25 18:43:59,1,0,0,갑질,"갑질 개 심하면서
처리도 개떡같고 미안해하지도 않고
상담원도 어쩌라는식으로 배 째는데
튀김집 사건 이후로 보고 느끼는게 없음"
2021-06-17 23:28:45,1,0,0,엉망진창 ㅋㅋ,어플 별점 총5점에 1몇점인데도 개선의지 1도없는 갑질기업 ㅋㅋㅋ
2021-06-14 10:15:42,2,0,0,사용불편,메뉴수정이나 간단한 변경을 위한 작업이 넘 불편합니다. 사용자의 편의성을 높이기 위해 보완이 필요해 보여요. 사용자 편의성은 배민이 갑.
2021-06-14 04:21:55,1,0,0,뭔놈에 ㅡㅡ,장사하기 바빠죽겠는데 뭔놈에 소꿉장난하는 놈이 마케팅이랑 프로그램을 맡았는지 다른 어플도 많고 바빠 죽겠는데 주문수락 30초내로 수락해야 유리하고 치타배달이니 뭐니 놀고앉았고 준비완료 따박따박해야 등급올라가곸ㅋㅋㅋ 진짜 키스를 글로 배웠어요 수준이네 이런 썩어빠진 발상해서 옮기는것들부터 잘라내고 모르면 배민 보고 배우고 와서 하세요 제발 이번에 또 영수증으로 뭔 장난질을 해가지고는 ㅡㅡ 일만들고 앉았길래 빡쳐서 알려주고 갑니다 정신차리세요
2021-05-24 19:34:55,1,0,0,ㅋㅋㅋㅋ진짜,"아예기본적인것도 똑바로안됭있고
한두가지여야 뭐라고 말을하지
상담사랑 담당자랑 말하는것도 다다르고
누구말이맞는건지"
2021-05-14 21:14:34,1,0,0,배달기사,강제 기사배정으로 배달파트너와 가게 잦은마찰
2021-05-13 02:20:36,1,0,0,제발 사장님들 말을 들어주세요,사장님들끼리 경쟁을 안시키겠다는 말은 이해하겠어요. 메뉴 수정 하나 하려면 4-5일 걸리는게 너무 답답하고 어려워요. 굳이 담당직원을 통해서 처리해야 하는 이유가 있나요?
2021-05-08 01:30:10,1,0,0,메뉴 설명란 글자수 좀 늘려주세요,메뉴 설정란 글자 수가 너무 짧아요 좀 늘려주세요 너무 짧아서 뭘 설명도 못하겠네요 메뉴 구성이랑 설명중 하나만 적으려 해도 부족합니다. 좀 적당선으로 늘려주세요.
2021-05-06 02:22:42,1,0,0,고부갈등 발생시 먼산 바라보는 남편 같은 앱,"1. 점주가 리뷰를 못 쓰는 점.
  -고객과 전혀 소통이 되지 않아 오해의 소지가 있는 글을 써도 풀 수가 없다. 그렇다고 쿠팡은 점주 입장도 고객 입장도 아니라서 관여 안함. 그냥 점주 탓임. 쿠팡과도 소통이 어렵고 힘듦.  

2. 프로그램의 불편함.
  -점주가 직접 할 수 있는게 거의 없고 무조건 메일로만 소통 가능하며 일처리도 늦은 편임.  메뉴 및 가격변동에 빠른 대처 불가능.

  -주문접수, 음식 조리 시간등 빨리빨리 해내라고 재촉하는 앱. 이런 것들을 초단위로 평가해서 다른 앱 주문보다 빨리 처리 할 수 밖에 없음. 시간이 늦음 노출성이 떨어져서 매출도 떨어지는 효과가 발생함. 이것은 마치 어린아이가 장난감 사줄때까지 울어 제끼는 것과 같은 느낌임.

 -조리완료 버튼 누르는게 의미가 있나? 접수시 조리예상시간과 차이나도 점수 깍여서 계속 신경쓰임. 그리고 기사님들도 시간 맞춰오시지 않던데 그냥 처음 예상조리시간만 누르게 했음 좋겠음.

쿠팡이츠는 모든 걸 평가 하지 못해 안달난거 같아 보임. 그래도 나도 이렇게 평가해줌 ㅋㅋ"
2021-05-06 01:56:31,1,0,0,싸가지 없는 배달기사 좀 짜르세요,조리시간 안지킨것도 아니고 넉넉하게 잡고 준비하는데 1분만에 들어오더니 2~3분 대기해놓고 쌍욕 거하게 하는데 이딴새끼 불만족 누른다고 뭐 불이익 주기라도 합니까? 왜 이새끼 단돈 몇푼 더벌겠다고 떼쓰고 악쓰는거에 업주들이 고생해야 되죠? 왜 고객도 아니고 배달기사를 왕대접 해주는거에요?
