review,date,rating,y
전문성있는 배달라이더분들이 걸리면 빨리옵니다 근데 운없어서 자동차나 도보 자전거 걸리면 그냥 배달대행 하는 사람들보다 더 늦게옴ㅋㅋ 무슨 뽑기도 아니고ㅋㅋㅋ네비 보고 오느라 길 계속 틀리고 결국 내가 찾으러 나간것만 번 ㅋㅋㅋㅋ심지어 우리집 복잡한 골목에 있는것도 아니고 대로변에 있는데 그리고 도보로 오시는 분들은 물건 손에 달랑달랑 들고옵니다 교육좀 시키세요 그리고 꿀팁 하나 드리자면 배달시키는 상점 자기 집에서 가까우면 걍 배민으로 시켜드세요 키로 이상이면 쿠팡 이용하시구 근데 쿠팡이여도 늦게올땐 늦게오네요ㅋㅋ,7/31/2021 13:52,1,0
맛있게 잘 먹었어요 파스타와 고르곤졸라 익숙한 맛있는 맛이구요 감바스는 처음 주문해봤는데 약간 매콤하니 딱 좋았어요,7/31/2021 8:18,5,1
라이더 실시간 위치 알려주는 기능 이 기능 소비자 입장에서 무조건 좋을 것 같지만 요즘 이거 보다가 화병 납니다 배달 인원은 부족하고 이 사람 저 사람 전부 배달 시작하다보니 배민에서는 겪은 적 없는 일들을 여기서 다 겪습니다 주소 떡하니 적혀있는데 몇동 몇호냐고 연락오는 라이더들 배달원 주차 걱정을 내가 하게되는 자동차 배달 등등 안그래도 배고파서 예민해져있을 때 더 신경쓸 일만 늘어나고 실제로 배달에 걸린 시간이 그리 많이 걸린 것도 아닌데 실시간 라이더 위치를 볼 수 있으니 은근히 계속 신경쓰게 되고 정말 상대가 완벽한 배달을 제공할 수 있는게 아니라면 만족도를 떨어뜨리는 원인이 되는 것 같습니다 처음엔 저만 너무 예민한가 했는데 여기 댓글 보니 배달 문제 때문에 얘기가 많네요 라이더 인원이 부족해서 가려 받을 때가 아니라면 교통수단이나 라이더 실시간 위치 기능을 없애시는 게 나을 것 같고 그 기능을 없앨 수 없다면 라이더 교육에 더 신경써서 해주세요,7/30/2021 21:43,2,0
너무 배달비가 비싼 집은 거르고 싶어서 필터를 종종 사용하는데요배달비가 결국 금액 기준으로 또 나뉘게 되니까 필터를 써도 가게 클릭해서 들어간 다음에 상세페이지에서 배달비자세히를 봐야 주문금액별 정확한 배달비를 알 수 있으니 너무 불편해요적어도 가장 싼 배달비에 대한 가능 주문금액이 가게 고르는 화면에 나왔으면 좋겠습니다,7/30/2021 6:39,3,0
무료배달이라고 써져있는데 막상 시켜보면 원이 붙어있고 ㅜㅡㅜ 코로나때문에 집에서 혼자 시키는 경우가 많아서 최소금액으로 시키는데 얼마 이상 무료배달인 경우에도 메인 페이지에 무료배달이라고 써져있고 자세히버튼을 눌러야지만 보이더라구용 애초에 원이라고 표기되어있으면 나중에 상심ㅋㅋ할 일도 없을 것 같아요 배달비 표시좀 바꿔주세용,7/30/2021 4:52,5,1
아니잖아요ㅠ 일부러 디쟌 장난친 거 다 알아요 짱나,7/29/2021 6:32,1,0
배라에서 아이스크림 시켰는데 위치로는 배달이 집앞까지 다 왔는데 분이 지나도 문앞에 아이스크림이 없었어요배달관계자한테 전화하면 전화 받지도 않고 전화를 받을수 없다하고 진짜 이러고 주문취소 됐어요 너무 짜증나요 위치서비스 진짜가 맞나 싶고 ,7/28/2021 9:39,1,0
배민처럼 가게 메뉴 가독성은 부족하지만 그래도 많이 바뀔거라 믿어요 배달실시간 추적은 정말 너무좋아요 제대로 픽업이 됐는지도 바로 확인가능하고 배달기사님이 어디쯤있는지도 확인할수 있으니 정말 너무너무 감사합니다 더 바랄게 있다면 가게 오픈정렬순 옵션 가게 메뉴별 리뷰 정렬 옵션 다른명의카드 결제 기능이 추가됐으면 좋겠어요 ,7/28/2021 2:58,4,1
하 우울합니다,7/27/2021 23:12,1,0
쓰지 마세요한집배달도 아니고 자동자자전거배달이나 하고 있고 강남 거주하는데 강북에서 자동차를 타고 오시질 얺나 무슨 장난하나 서비스 응대도 참 뭐같네요 배민 쓰세요 님들,7/27/2021 6:38,1,0
지도로 배달 모습도 볼 수 있고 리뷰 보면서 메뉴 검색하니 실패도 없는거 같고 지금까진 다 만족합니다,7/27/2021 4:37,5,1
예전에 빨라서 자주 시켜먹었는데이젠 배민이 훨씬 빠르다 느껴질정도로느려요 시간도 어느순간 보면 더 늘리고ㅠ이번 이용후에 앱삭제할거에요배신감,7/27/2021 3:16,1,0
치타배달로 분에서 분 이길래 시켰는데 주문 들어가고 나니까 분으로 바껴버리네 ㅋㅋㅋㅋㅋ 치타배달 이름값 못한다,7/27/2021 2:21,1,0
배민이랑 차별화 될 줄 알았는데 똑같네요,7/26/2021 12:26,1,0
치타배달 가게의 배달 예상 시간도 훨씬 빠르길래 쿠팡 이츠에서 주문했는데 주문하자 마자 예상 시간 배로 늘어나네요 주문 단계에서 안내 문구라도 있던가 결제 완료하고 매장에서 수락한 뒤에 예상시간이 이렇게 늘어나다니 이러면 쿠팡 이츠 쓸 이유가 없을것 같아요,7/26/2021 7:34,1,0
아니 처음부터 엄청 먼 곳에서 배달 잡아서 매장까지 가는 시간도 엄청 걸렸는데 심지어 그 매장 근처에서 분 넘게 빙빙 돌다가 결국 취소ㅋㅋㅋㅌㅋㅋ 뭔 사람 놀리는 것도 아니고 시간도 두배로 걸려서 받았네요ㅎㅎ,7/26/2021 6:35,1,0
최애 앱이었는데최악의 앱이 될 것 같아요자동차 라이더 거부할수 있게 해주세요강남 한복판에서 자동차로 배달하는거 말도 안되지 않나요 심지어 픽업도 겁나 느리게 가서 음식집에서 라이더 기다리고 계시데요 장난해요내 음식 음식점에서 라이더 기다리면서 불어야되요,7/26/2021 6:02,1,0
배달앱을 사용하지 않는 사람인데 쿠팡잇츠는 쿠팡과 연동되서 우연히 사용하게 되었습니다 다른앱은 사용해보지 않아서 모르겠지만 쿠팡잇츠는 저처럼 잘 모르는 사람도 간편하게 사용할 수 있게 잘 만들어진거 같습니다 두 가게를 동시에 사용하는 방법을 몰라서 한가게씩 주문하는데 여튼 너무 잘 이용하고 있습니다,7/25/2021 10:30,5,1
여기는 문제점 전화접수하면 개선되는데 일걸립니다  그것도 일걸린다고  당당히 애기하네요  고객센터는 전달자 역활만 할뿐 설명해도 못알아듣는 상담원이부지기수구  라이더분들도 배차받았다 취소 해서 가게서 조리한거 다버리게 만들어놓고 이의신청하면 정산때 손실보존해주겠다 하고  이거일알이 업주가확인해야함 아바쁜세상에 거기다누락된거가 더 많음 한마디로의도는좋은앱이지만 운영관리측면은 배보다한참떨어짐 뭐하나 수정하는게 일걸리는 거보면 욕 나옵니다,7/25/2021 5:25,1,0
요즘 가장많이 애용하는 앱중하나인거같아여 배달현황이랑 시간도 장 알려주고 아주 좋습니다,7/24/2021 13:24,5,1
항상 쿠팡이츠를 잘 사용하고 감사하게 쓰고있어요저희 집이 골목으로 들어오는게 조금 찾기 어려울수도 있어서 배달하시는 분에게 메세지도 적어 놓았지만 항상 다른길로 들어가 음식이 늦게 도착하네요몇 번 문의를 드렸지만 달라지는게 전혀 없어서 리뷰작성까지 해봅니다네비가 잘못적용이 되는것도 문제에요 네이버나 다른 길찾기 사용하면 잘 도착 가능한데항상 이런식이라 조금은 불편합니다 개선부탁드려요,7/24/2021 11:33,3,0
여기저기 들러서 주문하면 한시간 걸리는 타 배달어플보다 매장에서 먹는 그대로 따끈따한 주문메뉴를 집에서 코로나 두려움 없이 편안하게 즐길 수 있어 추천해요,7/24/2021 11:29,5,1
주문하고 요청사항 제대로 기입했는지 확인하려는데 해당 내용은 확인이 불가능해서 불편해요ㅠ 개선 부탁드립니다,7/24/2021 10:55,3,0
쿠팡이츠에서 배정을안해줘서 배달이안오네요 ㅋㅋ,7/24/2021 10:21,1,0
무료배달 이라면서 만원만원까지 배달비 만원 이상 무료배달이 어떻게 무료배달입니까배달의 민족이랑 그냥 똑같아요ㅋㅋㅋ저런거를 규제해서 소비자가 타 앱보다 더 편리하고 정확하다고 느끼지 않으면 왜 똑같은 배민앱 놔두고 이거를 쓸까요,7/24/2021 10:09,1,0
